id,lat,lng,group2
6967,51.4083,-0.6383,N+K
6968,60.0,23.5,S+E
6969,60.0,23.5,S+E
6970,41.7194,2.93056,N+K
6971,41.7194,2.93056,N+K
6973,56.0648,13.9707,N+K
6974,56.0648,13.9707,N+K
6975,48.3,14.45,N+K
6976,48.3,14.45,N+K
6979,47.25,8.26,S+E
6981,52.3,30.0,N+K
6982,52.3,9.3,N+K
6984,49.3853,16.2544,N+K
6986,57.1539,-2.2207,N+K
6987,48.0683,7.62551,N+K
6989,54.8,-2.4333,N+K
6990,53.448,5.73,S+E
6992,50.3,5.3,N+K
6997,51.8333,5.5833,N+K
7000,50.9167,9.57073,N+K
7002,51.3333,6.1,N+K
7003,47.5,7.5,N+K
7008,52.0,5.675,N+K
7013,52.4584,13.287,N+K
7014,56.5459,-4.79821,N+K
7025,44.5041,11.3396,N+K
7026,54.4,-3.2667,N+K
7028,49.5166,9.3166,N+K
7031,50.0167,8.6667,N+K
7033,41.3599,-122.755,N+K
7036,50.5,9.5,N+K
7058,54.1,-6.2,N+K
7061,53.2699,-1.64293,N+K
7062,50.2981,8.26607,N+K
7063,29.2144,-13.4811,S+E
7064,51.3,1.1,N+K
7067,37.3,15.0,N+K
7068,42.0,12.1,N+K
7071,48.0717,1.33867,N+K
7072,53.7502,34.7361,N+K
7077,40.12,-8.25,N+K
7081,40.2077,-8.42639,N+K
7092,49.416,2.823,N+K
7094,49.8724,8.65081,N+K
7096,47.3239,5.04278,N+K
7102,50.7224,8.2372,N+K
7103,49.4167,16.2667,S+E
7106,51.051,13.7336,S+E
7107,54.7761,-1.5733,N+K
7109,51.3,0.5,N+K
7111,55.9494,-3.16028,S+E
7117,51.5105,9.68253,N+K
7119,50.0,8.5,N+K
7120,50.0,8.5,N+K
7125,49.5955,11.0087,N+K
7126,60.1997,24.5682,N+K
7127,58.6656,24.9871,N+K
7130,44.6447,2.56481,N+K
7133,50.1102,8.6822,N+K
7138,50.5,8.0167,N+K
7143,51.0167,5.86667,N+K
7147,50.584,8.67825,N+K
7158,47.0,15.5,N+K
7160,43.178,-85.2532,S+E
7161,53.5,10.5,N+K
7162,52.24,9.44,N+K
7163,52.3721,9.73569,N+K
7164,55.675,12.5686,N+K
7165,51.3472,8.28844,N+K
7169,54.4175,9.88682,N+K
7177,49.0,15.0,N+K
7181,50.927,11.587,N+K
7183,35.0,77.0,S+E
7186,54.8969,23.8924,N+K
7192,55.6395,-5.66364,N+K
7199,50.95,6.9666,N+K
7202,50.1797,8.50861,N+K
7203,49.631,11.5722,N+K
7207,35.0085,135.752,N+K
7208,55.6739,-3.78181,N+K
7209,52.7333,15.2333,N+K
7213,47.984,10.8719,N+K
7217,48.0,0.5,N+K
7218,52.1611,4.49015,N+K
7223,50.3833,8.0666,S+E
7231,50.3833,8.0666,N+K
7244,50.001,8.26664,N+K
7248,41.3923,-70.6652,S+E
7250,51.9183,10.1138,N+K
7255,50.95,20.5,N+K
7258,50.5,8.5,N+K
7268,52.6969,10.981,N+K
7273,51.0581,13.2995,N+K
7276,50.2,8.5833,N+K
7280,53.1667,8.2,N+K
7282,50.3827,8.01161,N+K
7287,53.3422,8.42255,N+K
7288,60.385543,6.193019,N+K
7296,59.0,29.0,S+E
7298,47.04,10.51,N+K
7305,53.476,10.6065,N+K
7306,49.2655,-123.206,N+K
7307,48.0653,-2.96591,N+K
7314,54.3512,-3.41697,N+K
7316,51.9667,5.56667,N+K
7319,42.0,12.1,N+K
7320,49.4424,1.09849,N+K
7322,56.3,34.0,N+K
7323,49.0,38.28,S+E
7327,41.7833,3.03333,N+K
7328,41.7833,3.03333,N+K
7332,47.0,-122.2,N+K
7333,46.5438,11.5614,N+K
7337,50.8738,8.02341,N+K
7342,53.6473,-3.00733,S+E
7343,52.5339,13.181,N+K
7344,47.6667,9.5,S+E
7346,52.6058,11.8558,N+K
7347,52.0,36.0,S+E
7349,49.5,14.5,S+E
7350,47.2413,-122.459,S+E
7353,52.08,4.3,N+K
7354,56.5,14.9,N+K
7356,41.6639,-83.5553,S+E
7358,41.6639,-83.5553,S+E
7359,41.6639,-83.5553,S+E
7372,47.0748,9.9042,N+K
7373,34.43,136.31,N+K
7377,43.2708,-85.2563,S+E
7378,48.0333,7.7667,N+K
7382,52.0918,5.1145,N+K
7383,49.2655,-123.206,S+E
7384,52.0333,5.55,N+K
7387,54.9902,-2.3671,N+K
7394,52.3,21.0,N+K
7396,52.3,30.0,N+K
7404,52.6,10.0667,N+K
7411,47.9299,10.8134,N+K
7413,54.6833,25.3167,N+K
7415,49.7878,9.9361,S+E
7416,37.45,-119.35,S+E
7417,47.3667,8.55,N+K
7418,47.3667,8.55,N+K
7419,50.3058,8.32213,N+K
7424,49.2,16.6166,N+K
7430,48.6167,6.25,N+K
7461,49.0,15.0,N+K
7475,41.767,-72.677,S+E
7477,41.7302,-71.2825,N+K
7514,41.5609,-86.4251,N+K
7515,41.5609,-86.4251,S+E
7516,55.58,14.334,N+K
7517,55.58,14.334,S+E
7520,49.38,16.81,N+K
7521,49.38,16.81,N+K
7523,42.0945,-86.3253,S+E
7525,42.036,-86.511,N+K
7529,42.0333,-86.5128,S+E
7530,42.0333,-86.5128,S+E
7566,42.093,-86.359,S+E
7568,42.093,-86.359,S+E
7717,41.273,-86.625,S+E
7757,41.273,-86.625,S+E
7767,41.273,-86.625,S+E
7917,42.0945,-86.3253,S+E
7947,42.0945,-86.3253,S+E
8037,41.3423,-86.7368,S+E
8057,41.3423,-86.7368,S+E
8077,41.3423,-86.7368,S+E
8132,42.036,-86.511,S+E
8171,42.036,-86.511,S+E
8214,49.0,2.0,N+K
8222,56.0328,14.775,N+K
8227,62.7989,17.9103,S+E
8230,56.68,16.5,N+K
8231,56.3,16.0,S+E
8233,41.1876,-87.1923,S+E
8234,56.4606,15.8127,N+K
8235,48.8,17.1,N+K
8236,49.33,15.76,S+E
8237,55.8,13.1,N+K
8238,51.15,0.4,N+K
8239,51.0,7.0,N+K
8240,55.705,13.196,N+K
8241,55.9473,13.821,N+K
8242,56.1494,15.7884,N+K
8243,43.7703,11.2547,N+K
8244,48.6103,2.3086,N+K
8246,35.0,-79.18,N+K
8247,56.07,13.74,N+K
8249,57.7,15.8,N+K
8256,56.4,12.9,N+K
8258,56.4,12.9,N+K
8259,56.4,12.9,N+K
8264,41.6833,2.8,N+K
8283,55.76,14.12,N+K
8284,49.4112,16.2815,N+K
8285,49.4112,16.2815,S+E
8290,50.0,8.5,N+K
8297,46.5,6.08,N+K
8306,56.1,13.74,N+K
8307,56.1,13.74,N+K
8311,47.5,11.5,N+K
8312,50.5,7.5,N+K
8326,56.0328,14.775,N+K
8334,55.71,13.2,S+E
8335,55.71,13.2,N+K
8337,44.0,12.37,N+K
8343,47.5,1.5,N+K
8351,60.25,18.37,S+E
8354,58.0,56.3167,S+E
8357,41.5,2.25,N+K
8365,49.0,16.0,N+K
8366,50.5,8.5,N+K
8369,55.6942,13.4504,N+K
8376,62.69,18.0,S+E
8386,58.9,11.2,N+K
8387,59.0,18.0,N+K
8419,54.6833,25.3167,N+K
8420,50.0667,8.5333,N+K
8422,56.06,14.29,S+E
8424,35.0,77.0,S+E
8426,56.06,13.97,N+K
8427,56.0648,13.9707,N+K
8464,41.6862,-86.8513,S+E
8483,41.6862,-86.8513,S+E
8699,42.0945,-86.3253,S+E
8723,42.0945,-86.3253,S+E
9027,42.036,-86.511,S+E
9057,56.1,13.9167,N+K
9058,57.75,16.6333,S+E
9067,38.6536,48.7992,S+E
9069,38.6536,48.7992,S+E
9070,38.6536,48.7992,S+E
9075,38.7406,48.6131,S+E
9078,38.7406,48.6131,S+E
9079,38.7833,48.5517,S+E
9081,38.7833,48.5517,S+E
9084,38.7833,48.5517,S+E
9085,38.7833,48.5517,S+E
9089,38.9522,48.925,S+E
9091,38.9522,48.925,N+K
9095,38.9786,48.5594,N+K
9099,38.9786,48.5594,S+E
9100,41.8296,46.2831,S+E
9102,41.8296,46.2831,S+E
9103,41.8296,46.2831,S+E
9104,41.8296,46.2831,S+E
9105,41.8296,46.2831,S+E
9106,41.8296,46.2831,S+E
9111,41.8296,46.2831,S+E
9113,41.8296,46.2831,S+E
9114,41.8296,46.2831,S+E
9115,41.8296,46.2831,S+E
9121,41.7942,43.4767,N+K
9125,40.1408,44.8203,S+E
9128,39.8692,45.3622,S+E
9130,39.8692,45.3622,S+E
9131,39.8692,45.3622,S+E
9133,39.8692,45.3622,S+E
9134,39.8692,45.3622,S+E
9298,55.9681,-3.21833,N+K
9312,57.9,-5.1525,S+E
9314,57.9672,-3.96722,N+K
9321,62.8622,18.336,S+E
9323,62.8622,18.336,S+E
9332,62.8698,18.381,N+K
9336,62.8794,18.4473,S+E
9339,57.7133,15.0689,N+K
9343,57.3089,18.1512,N+K
9352,57.2608,16.3675,N+K
9353,57.2608,16.3675,N+K
9363,62.9147,18.4045,N+K
9369,57.6781,14.9986,N+K
9370,57.6781,14.9986,N+K
9371,63.016,18.3175,N+K
9380,55.7488,13.3742,N+K
9381,55.8106,14.2091,S+E
9382,55.8106,14.2091,N+K
9383,55.8106,14.2091,S+E
9386,62.806,18.1896,S+E
9388,62.806,18.1896,S+E
9390,57.3263,15.8979,N+K
9391,57.3263,15.8979,N+K
9392,57.3263,15.8979,N+K
9394,56.5804,16.4063,N+K
9395,57.5089,15.0105,N+K
9399,55.4234,13.9905,N+K
9402,57.8765,14.8549,N+K
9404,55.7491,13.399,N+K
9405,55.7491,13.399,N+K
9407,55.7491,13.399,N+K
9408,56.047,13.9519,N+K
9409,56.0573,14.302,N+K
9412,57.2746,16.1494,N+K
9413,57.2746,16.1494,N+K
9416,57.7215,18.3837,N+K
9421,55.9745,14.3997,S+E
9427,62.8815,18.4055,S+E
9433,62.9513,18.2763,S+E
9436,56.1633,14.6806,N+K
9437,56.1633,14.6806,N+K
9442,55.5678,14.3398,S+E
9450,57.2545,18.2109,N+K
9451,57.2545,18.2109,N+K
9452,57.2545,18.2109,S+E
9453,57.8009,18.5162,S+E
9454,57.8009,18.5162,N+K
9455,57.8009,18.5162,S+E
